通し番号,カテゴリー,商品名,x座標,y座標,画像
1,肉類,いばらきのお肉,645,80,niku
2,肉類,お肉量り売り,850,80,niku
3,肉類,牛肉,1050,80,gyuniku
4,肉類,豚肉,1200,80,butaniku
5,肉類,鶏肉,1330,80,toriniku
6,肉類,ひき肉,1470,80,hikiniku
7,肉類,味つき肉,1330,140,niku
7,肉類,味つき肉,1330,150,niku
8,肉類,加工肉,1330,230,kakoniku
8,肉類,加工肉,1330,240,kakoniku
9,卵・乳製品,卵,-5,430,tamago
10,魚介・海藻,お刺身,150,80,sashimi
11,魚介・海藻,切り身,125,145,kirimi
12,魚介・海藻,しらす,-5,205,shirasu
13,魚介・海藻,もずく,-5,275,mozuku
14,魚介・海藻,明太子,-5,345,mentaiko
15,魚介・海藻,魚介おつまみ,400,80,otumami
16,魚介・海藻,エビ,125,220,ebi
17,魚介・海藻,貝,150,260,kai
18,魚介・海藻,干物,90,260,himono
19,野菜・フルーツ,玉ねぎ,90,480,tamanegi
20,野菜・フルーツ,じゃがいも,150,480,jagaimo
21,野菜・フルーツ,さつまいも,205,505,satsumaimo
22,野菜・フルーツ,なす,150,520,nasu
23,野菜・フルーツ,ピーマン,90,520,piman
24,野菜・フルーツ,キノコ,150,610,kinoko
24,野菜・フルーツ,キノコ,205,640,kinoko
25,野菜・フルーツ,ニンジン,90,610,ninjin
26,野菜・フルーツ,とうもろこし,45,640,toumorokoshi
27,野菜・フルーツ,かぼちゃ,90,645,kabocha
28,野菜・フルーツ,ズッキーニ,150,645,zukkini
29,野菜・フルーツ,きゅうり,90,740,kyuri
30,野菜・フルーツ,大根,150,740,daikon
31,野菜・フルーツ,キャベツ,205,760,kyabetsu
32,野菜・フルーツ,ブロッコリー,45,760,burokkori
33,野菜・フルーツ,トマト,90,770,tomato
34,野菜・フルーツ,ミニトマト,150,770,minitomato
35,野菜・フルーツ,フルーツ,125,875,fruits
35,野菜・フルーツ,フルーツ,-5,900,fruits
36,野菜・フルーツ,葉野菜,-5,800,hayasai
37,野菜・フルーツ,もやし,-5,675,moyashi
38,野菜・フルーツ,パック野菜,-5,530,onabe
39,米類・シリアル,米大袋,1350,850,kome
40,米類・シリアル,米,445,730,kome
41,米類・シリアル,餅,445,660,mochi
42,パン類,菓子パン,1350,780,kasipan
43,パン類,食パン,1350,765,syokupan
44,パン類,惣菜パン,1525,785,souzaipan
45,麺類,うどん,110,350,udon
46,麺類,中華麺,205,245,chukamen
46,麺類,中華麺,125,390,chukamen
47,麺類,パスタ,655,343,pasta
48,麺類,そうめん,530,175,soumen
48,麺類,そうめん,430,135,soumen
49,ご飯のお供,豆腐,290,150,tofu
50,ご飯のお供,納豆,290,400,natto
51,ご飯のお供,餃子,290,520,gyoza
52,ご飯のお供,焼売,290,580,syumai
53,ご飯のお供,練り物,290,315,ganmo
54,ご飯のお供,こんにゃく,290,220,konnyaku
54,ご飯のお供,こんにゃく,45,375,konnyaku
55,ご飯のお供,梅干し,290,667,umeboshi
56,ご飯のお供,漬物,290,745,tsukemono
57,ご飯のお供,キムチ,290,800,kimuchi
58,惣菜・冷凍食品,お弁当,1350,340,obento
59,惣菜・冷凍食品,惣菜,1525,179,souzai
59,惣菜・冷凍食品,惣菜,1325,425,souzai
60,惣菜・冷凍食品,惣菜(冷),1325,425,souzai
61,惣菜・冷凍食品,麺類(冷),1375,425,men
62,惣菜・冷凍食品,サラダ,1350,400,sarada
63,調味料,ジャム,1350,690,jam
64,調味料,マヨネーズ,775,175,mayonezu
65,調味料,ドレッシング,775,230,doressing
66,調味料,缶詰,775,380,kandume
67,調味料,ケチャップ,685,240,kechappu
68,調味料,タレ,685,175,tare
69,調味料,中華調味料,655,229,tyuuka
70,調味料,スパイス類,565,155,spice
71,調味料,めんつゆ,530,220,mentsuyu
72,調味料,ぽん酢,530,300,ponzu
73,調味料,ふりかけ,445,536,furikake
74,調味料,みりん,445,350,mirin
75,調味料,塩,445,390,salt
76,調味料,砂糖,445,410,suger
77,調味料,醤油,445,276,syouyu
78,調味料,味噌,445,175,miso
79,調味料,ごま,410,250,goma
80,調味料,サラダ油,685,400,abura
81,調味料,ごま油,685,350,abura
82,調味料,海苔,530,400,nori
83,調味料,かつお節,410,330,katsuobushi
84,調味料,お茶,410,400,ocha
85,調味料,小麦粉,685,275,komugiko
86,調味料,片栗粉,685,250,katakuriko
87,調味料,カレー,565,330,curry
88,調味料,きな粉,410,175,kinako
89,米類・シリアル,シリアル,775,600,siriaru
